,Open,High,Low,Close,Volume,Price Change %
1999-11-01,98.5000,98.8100,96.3700,96.75,9551800,0.0
1999-11-02,96.7500,96.8100,93.6900,94.81,11105400,-2.0051679586563287
1999-11-03,95.8700,95.9400,93.5000,94.37,10369100,-0.46408606687058374
1999-11-04,94.4400,94.4400,90.0000,91.56,16697600,-2.9776411995337537
1999-11-05,92.7500,92.9400,90.1900,90.25,13737600,-1.4307557885539612
1999-11-08,90.5000,93.9400,90.5000,93.94,8522300,4.088642659279773
1999-11-09,95.0600,95.5000,92.1200,93.62,9551200,-0.34064296359377355
1999-11-10,94.6200,97.0600,94.1200,97.0,8680300,3.610339671010454
1999-11-11,97.5000,97.5000,94.8700,95.0,7147500,-2.0618556701030966
1999-11-12,96.0000,96.2500,93.0000,95.87,9668400,0.9157894736842254
1999-11-15,96.0000,96.3700,93.8700,94.06,6259400,-1.8879732971732621
1999-11-16,94.6200,95.0000,93.0000,94.62,8537400,0.5953646608547691
1999-11-17,94.8700,94.8700,92.6200,93.75,8355100,-0.919467343056446
1999-11-18,94.0000,98.2500,93.5600,98.0,18720500,4.533333333333323
1999-11-19,99.0000,105.1200,98.3700,103.94,19678400,6.061224489795913
1999-11-22,105.5000,108.4400,104.4400,107.87,13681600,3.7810275158745466
1999-11-23,108.8100,109.8700,106.0000,106.06,10665200,-1.6779456753499566
1999-11-24,105.0000,105.0000,101.8100,104.5,9710400,-1.4708655478031352
1999-11-26,105.9400,106.0000,104.1200,105.0,3108400,0.4784688995215225
1999-11-29,104.9400,104.9400,103.3700,104.19,5677700,-0.7714285714285785
1999-11-30,103.6900,104.5000,102.1200,103.06,5758700,-1.084557059218727
1999-12-01,102.5600,104.4400,102.2500,103.42,5336400,0.349311080923731
1999-12-02,103.4400,106.3100,103.3700,105.27,6216900,1.7888222780893415
1999-12-03,109.8100,112.8700,107.9400,111.87,14680300,6.269592476489039
1999-12-06,113.0000,116.5000,112.5000,116.0,9928300,3.691785107714307
1999-12-07,117.0000,119.1900,115.4400,116.62,11326100,0.5344827586206913
